target,n,spearman,spearman_ci_low,spearman_ci_high,pearson,pearson_ci_low,pearson_ci_high,seed
qed,10000,-0.1651327341746951,-0.1844020421625257,-0.1460038689112214,-0.1926547400459661,-0.211738071347119,-0.1742910587576404,42
sa,10000,-0.0057690006998976,-0.0261439715776592,0.0129450151679958,-0.0253992049859407,-0.044323482993127,-0.0074480963794292,42
sa_good,10000,0.0057690006998976,-0.0146502624504205,0.0255450417426901,0.0253992049859407,0.0058620548043111,0.044151063497356,42
logp,10000,0.4981022079108098,0.4818000663661064,0.5132828738319146,0.4841743121393874,0.469868060027041,0.4980751136650874,42
logp_gaussian,10000,-0.448760340402335,-0.4641819308254457,-0.4323764156897931,-0.4576501350967338,-0.4722544373314178,-0.4424215372146581,42
tpsa_gaussian,10000,-0.1993607234040499,-0.2180326821769521,-0.1796957049543097,-0.2002795624478757,-0.2179555802503381,-0.1840958035613213,42
mw_gaussian,10000,0.460944332427059,0.4465078512416159,0.4766730388990226,0.3491643564531925,0.3341337871363397,0.3654440480871074,42
nrb_gaussian,10000,-0.1457845833048429,-0.1647021400518486,-0.1257925812863699,-0.1429344508336721,-0.1617206609106169,-0.1220830059190728,42
passes_lipinski_ro5,10000,,,,,,,42
official_base_score,10000,-0.2458967130498194,-0.2637069185093325,-0.2280048023888383,-0.2743743197151454,-0.2922210016705239,-0.2572275008429469,42
official_property_contribution,10000,-0.2458967130498194,-0.2642059065264147,-0.2278589735513844,-0.2743743197151454,-0.2926757760933231,-0.2569723222183911,42
official_final_score,0,,,,,,,42
qed,10000,-0.1538213631686344,-0.1725977732275985,-0.1344993684125605,-0.1846942065536248,-0.2044882046240374,-0.1658103366724687,123
sa,10000,0.0058138730323829,-0.0138069252828969,0.024265657647173,-0.0158837333449652,-0.0336005681546391,0.0020937293127071,123
sa_good,10000,-0.0058138730323829,-0.0260330146655724,0.0132143936116285,0.0158837333449652,-0.0030033472675645,0.0343806502755725,123
logp,10000,0.5043204081949374,0.4888813732057282,0.5191551662361902,0.490960447444404,0.4756440858289117,0.5054212660834027,123
logp_gaussian,10000,-0.4465261402863994,-0.4641501344226879,-0.4297970456795199,-0.4606894791826354,-0.4776751761515366,-0.4439465817434859,123
tpsa_gaussian,10000,-0.2042772607579801,-0.2216090229174622,-0.1865091084889179,-0.2125475396933613,-0.2279537321384011,-0.1961072930248014,123
mw_gaussian,10000,0.4646101279091784,0.4489206375828567,0.4796695901895713,0.3505882320154466,0.3336914992575125,0.3673800456623145,123
nrb_gaussian,10000,-0.1663197179204902,-0.1846665271040486,-0.1477867450702545,-0.1615666485809806,-0.180405300225167,-0.1426238314138203,123
passes_lipinski_ro5,10000,,,,,,,123
official_base_score,10000,-0.2467927449122927,-0.2655867101274252,-0.2280157686020549,-0.2815927164444675,-0.3002507771666894,-0.2635561129236551,123
official_property_contribution,10000,-0.2467927449122927,-0.2665586814835181,-0.2280195965839232,-0.2815927164444674,-0.3006900001273228,-0.2620830418526442,123
official_final_score,0,,,,,,,123
qed,10000,-0.1629843535177456,-0.1822135809376196,-0.1433324157295596,-0.1927854143961004,-0.2123434996934217,-0.1741078445994127,2026
sa,10000,0.007808940078347,-0.0122960631646546,0.0270027916457805,-0.0165125129440543,-0.0357880232077166,0.0027755888393581,2026
sa_good,10000,-0.007808940078347,-0.0285902866600743,0.0113483626944147,0.0165125129440543,-0.002527126500224,0.0345504377571629,2026
logp,10000,0.504429516232303,0.4887908567408373,0.5186225681142684,0.4920695685294103,0.4773875693882902,0.5064124736544935,2026
logp_gaussian,10000,-0.452160759223602,-0.4686404209078209,-0.4348537644444105,-0.4647745754881482,-0.4806142950861278,-0.44907814863357,2026
tpsa_gaussian,10000,-0.203365414756419,-0.2217365330269586,-0.1837941947849233,-0.2108368736090199,-0.2274904316037272,-0.19388232036166,2026
mw_gaussian,10000,0.4592413388877083,0.4425167031567078,0.4754492887433138,0.3502533080393107,0.3332486565538471,0.3664211959131403,2026
nrb_gaussian,10000,-0.1637013341169799,-0.1842198622912561,-0.1439124416366369,-0.1596059560485645,-0.1801662108462652,-0.1389457825454579,2026
passes_lipinski_ro5,10000,,,,,,,2026
official_base_score,10000,-0.2522913593872392,-0.2721401995943146,-0.2337469474734772,-0.2842727027900929,-0.3042993320010668,-0.2657768677191606,2026
official_property_contribution,10000,-0.2522913593872392,-0.2696881878311491,-0.2335930266635713,-0.2842727027900928,-0.3013772137360317,-0.26619922712047,2026
official_final_score,0,,,,,,,2026
