model,property,subset,observed,seed
Paper-Artifact-FM-Seed42,QED,top_5,0.5962712983119167,42
Paper-Artifact-FM-Seed42,QED,top_10,0.5769681561875238,42
Paper-Artifact-FM-Seed42,QED,top_20,0.5526294272162288,42
Paper-Artifact-FM-Seed42,QED,avg,0.6303688765159539,42
Paper-Artifact-FM-Seed42,SA,top_5,4.58235181871202,42
Paper-Artifact-FM-Seed42,SA,top_10,4.52244682386494,42
Paper-Artifact-FM-Seed42,SA,top_20,4.427272709725153,42
Paper-Artifact-FM-Seed42,SA,avg,4.564551702695386,42
Paper-Artifact-FM-Seed42,LogP,top_5,32.6,42
Paper-Artifact-FM-Seed42,LogP,top_10,39.4,42
Paper-Artifact-FM-Seed42,LogP,top_20,39.75,42
Paper-Artifact-FM-Seed42,LogP,avg,72.6,42
Paper-Artifact-FM-Seed42,Ro5,top_5,100.0,42
Paper-Artifact-FM-Seed42,Ro5,top_10,100.0,42
Paper-Artifact-FM-Seed42,Ro5,top_20,100.0,42
Paper-Artifact-FM-Seed42,Ro5,avg,100.0,42
Paper-Artifact-FM-Seed123,QED,top_5,0.594651348736236,123
Paper-Artifact-FM-Seed123,QED,top_10,0.5801736580427379,123
Paper-Artifact-FM-Seed123,QED,top_20,0.5521851670537469,123
Paper-Artifact-FM-Seed123,QED,avg,0.6304531023801832,123
Paper-Artifact-FM-Seed123,SA,top_5,4.533185196080874,123
Paper-Artifact-FM-Seed123,SA,top_10,4.505705954627767,123
Paper-Artifact-FM-Seed123,SA,top_20,4.401559328446992,123
Paper-Artifact-FM-Seed123,SA,avg,4.534401853365861,123
Paper-Artifact-FM-Seed123,LogP,top_5,33.6,123
Paper-Artifact-FM-Seed123,LogP,top_10,41.8,123
Paper-Artifact-FM-Seed123,LogP,top_20,40.35,123
Paper-Artifact-FM-Seed123,LogP,avg,73.26,123
Paper-Artifact-FM-Seed123,Ro5,top_5,100.0,123
Paper-Artifact-FM-Seed123,Ro5,top_10,100.0,123
Paper-Artifact-FM-Seed123,Ro5,top_20,100.0,123
Paper-Artifact-FM-Seed123,Ro5,avg,100.0,123
Paper-Artifact-FM-Seed2026,QED,top_5,0.5965145303990006,2026
Paper-Artifact-FM-Seed2026,QED,top_10,0.5737001007252397,2026
Paper-Artifact-FM-Seed2026,QED,top_20,0.5518283604123269,2026
Paper-Artifact-FM-Seed2026,QED,avg,0.6310311086027618,2026
Paper-Artifact-FM-Seed2026,SA,top_5,4.565375482141544,2026
Paper-Artifact-FM-Seed2026,SA,top_10,4.4980610898324045,2026
Paper-Artifact-FM-Seed2026,SA,top_20,4.3846229032776645,2026
Paper-Artifact-FM-Seed2026,SA,avg,4.546168657163137,2026
Paper-Artifact-FM-Seed2026,LogP,top_5,36.0,2026
Paper-Artifact-FM-Seed2026,LogP,top_10,42.0,2026
Paper-Artifact-FM-Seed2026,LogP,top_20,41.6,2026
Paper-Artifact-FM-Seed2026,LogP,avg,73.81,2026
Paper-Artifact-FM-Seed2026,Ro5,top_5,100.0,2026
Paper-Artifact-FM-Seed2026,Ro5,top_10,100.0,2026
Paper-Artifact-FM-Seed2026,Ro5,top_20,100.0,2026
Paper-Artifact-FM-Seed2026,Ro5,avg,100.0,2026
