model,property,subset,observed,seed
Paper-Artifact-FM-Seed42,QED,top_5,0.8387509513050365,42
Paper-Artifact-FM-Seed42,QED,top_10,0.8229801681726507,42
Paper-Artifact-FM-Seed42,QED,top_20,0.7997193678196708,42
Paper-Artifact-FM-Seed42,QED,avg,0.6303688765159539,42
Paper-Artifact-FM-Seed42,SA,top_5,4.27993869474729,42
Paper-Artifact-FM-Seed42,SA,top_10,4.377635647406601,42
Paper-Artifact-FM-Seed42,SA,top_20,4.503708866181265,42
Paper-Artifact-FM-Seed42,SA,avg,4.564551702695386,42
Paper-Artifact-FM-Seed42,LogP,top_5,99.8,42
Paper-Artifact-FM-Seed42,LogP,top_10,99.2,42
Paper-Artifact-FM-Seed42,LogP,top_20,98.65,42
Paper-Artifact-FM-Seed42,LogP,avg,72.6,42
Paper-Artifact-FM-Seed42,Ro5,top_5,100.0,42
Paper-Artifact-FM-Seed42,Ro5,top_10,100.0,42
Paper-Artifact-FM-Seed42,Ro5,top_20,100.0,42
Paper-Artifact-FM-Seed42,Ro5,avg,100.0,42
Paper-Artifact-FM-Seed123,QED,top_5,0.8390689479688831,123
Paper-Artifact-FM-Seed123,QED,top_10,0.8230932246669054,123
Paper-Artifact-FM-Seed123,QED,top_20,0.7985929998604101,123
Paper-Artifact-FM-Seed123,QED,avg,0.6304531023801833,123
Paper-Artifact-FM-Seed123,SA,top_5,4.228080996140747,123
Paper-Artifact-FM-Seed123,SA,top_10,4.370504162016326,123
Paper-Artifact-FM-Seed123,SA,top_20,4.483548109060268,123
Paper-Artifact-FM-Seed123,SA,avg,4.534401853365861,123
Paper-Artifact-FM-Seed123,LogP,top_5,99.6,123
Paper-Artifact-FM-Seed123,LogP,top_10,99.1,123
Paper-Artifact-FM-Seed123,LogP,top_20,98.6,123
Paper-Artifact-FM-Seed123,LogP,avg,73.26,123
Paper-Artifact-FM-Seed123,Ro5,top_5,100.0,123
Paper-Artifact-FM-Seed123,Ro5,top_10,100.0,123
Paper-Artifact-FM-Seed123,Ro5,top_20,100.0,123
Paper-Artifact-FM-Seed123,Ro5,avg,100.0,123
Paper-Artifact-FM-Seed2026,QED,top_5,0.838302824311098,2026
Paper-Artifact-FM-Seed2026,QED,top_10,0.8238450695183339,2026
Paper-Artifact-FM-Seed2026,QED,top_20,0.7997205968575557,2026
Paper-Artifact-FM-Seed2026,QED,avg,0.6310311086027619,2026
Paper-Artifact-FM-Seed2026,SA,top_5,4.244749107839411,2026
Paper-Artifact-FM-Seed2026,SA,top_10,4.3749641602862654,2026
Paper-Artifact-FM-Seed2026,SA,top_20,4.502225929940716,2026
Paper-Artifact-FM-Seed2026,SA,avg,4.546168657163137,2026
Paper-Artifact-FM-Seed2026,LogP,top_5,99.8,2026
Paper-Artifact-FM-Seed2026,LogP,top_10,99.3,2026
Paper-Artifact-FM-Seed2026,LogP,top_20,98.65,2026
Paper-Artifact-FM-Seed2026,LogP,avg,73.81,2026
Paper-Artifact-FM-Seed2026,Ro5,top_5,100.0,2026
Paper-Artifact-FM-Seed2026,Ro5,top_10,100.0,2026
Paper-Artifact-FM-Seed2026,Ro5,top_20,100.0,2026
Paper-Artifact-FM-Seed2026,Ro5,avg,100.0,2026
