property,subset,mean,std,count
LogP,avg,73.22333333333334,0.6058327602014684,3
LogP,top_10,99.2,0.09999999999999964,3
LogP,top_20,98.63333333333333,0.028867513459486824,3
LogP,top_5,99.73333333333333,0.1154700538379268,3
QED,avg,0.6306176958329663,0.00036049422703261194,3
QED,top_10,0.8233061541192966,0.00047012530054539966,3
QED,top_20,0.7993443215125455,0.000650663927353579,3
QED,top_5,0.8387075745283393,0.0003848993677858883,3
Ro5,avg,100.0,0.0,3
Ro5,top_10,100.0,0.0,3
Ro5,top_20,100.0,0.0,3
Ro5,top_5,100.0,0.0,3
SA,avg,4.548374071074795,0.015195434891425564,3
SA,top_10,4.374367989903064,0.0036029273254231564,3
SA,top_20,4.496494301727417,0.011236222826402636,3
SA,top_5,4.250922932909149,0.026474370874216623,3
