property,subset,mean,std,count
LogP,avg,73.22333333333334,0.6058327602014684,3
LogP,top_10,100.0,0.0,3
LogP,top_20,100.0,0.0,3
LogP,top_5,100.0,0.0,3
QED,avg,0.6306176958329663,0.0003604942270326152,3
QED,top_10,0.8542303357213784,0.000632733467403518,3
QED,top_20,0.8261404718681079,0.0005078160110005458,3
QED,top_5,0.8754180232967462,0.0006658138290164996,3
Ro5,avg,100.0,0.0,3
Ro5,top_10,100.0,0.0,3
Ro5,top_20,100.0,0.0,3
Ro5,top_5,100.0,0.0,3
SA,avg,4.548374071074794,0.015195434891426005,3
SA,top_10,3.019278048232385,0.012062076727179271,3
SA,top_20,3.3378694754585143,0.01335899422250778,3
SA,top_5,2.770073324854342,0.013094054511034773,3
