seed,latent_code_hex,canonical_smiles,smiles,official_property_contribution,official_final_score,qed,score_sa,score_logp,score_ro5,bit_0,bit_1,bit_2,bit_3,bit_4,bit_5,bit_6,bit_7,bit_8,bit_9,bit_10,bit_11,bit_12,bit_13,bit_14,bit_15,bit_16,bit_17,bit_18,bit_19,bit_20,bit_21,bit_22,bit_23,bit_24,bit_25,bit_26,bit_27,bit_28,bit_29,bit_30,bit_31,bit_32,bit_33,bit_34,bit_35,bit_36,bit_37,bit_38,bit_39,bit_40,bit_41,bit_42,bit_43,bit_44,bit_45,bit_46,bit_47,bit_48,bit_49,bit_50,bit_51,bit_52,bit_53,bit_54,bit_55,bit_56,bit_57,bit_58,bit_59,bit_60,bit_61,bit_62,bit_63,bit_64,bit_65,bit_66,bit_67,bit_68,bit_69,bit_70,bit_71,bit_72,bit_73,bit_74,bit_75,bit_76,bit_77,bit_78,bit_79,bit_80,bit_81,bit_82,bit_83,bit_84,bit_85,bit_86,bit_87,bit_88,bit_89,bit_90,bit_91,bit_92,bit_93,bit_94,bit_95,bit_96,bit_97,bit_98,bit_99,bit_100,bit_101,bit_102,bit_103,bit_104,bit_105,bit_106,bit_107,bit_108,bit_109,bit_110,bit_111,bit_112,bit_113,bit_114,bit_115,bit_116,bit_117,bit_118,bit_119,bit_120,bit_121,bit_122,bit_123,bit_124,bit_125,bit_126,bit_127
123,1a816d5f323e981840f01fefad062a0b,CC1=C2C(=O)C=CC=CC2CC1CC(=O)C1C2CC2CCCC2C(C)CC21,CC1=C2C(=O)C=CC=CC2CC1CC(=O)C1C2CC2CCCC2C(C)CC21,0.5854003739500269,,0.6806549479305417,0.1104453722747749,0.0174760568827056,0.1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,0,1,0,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,1,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,1
123,1a816d5f323e981840b01fefad062a0b,CCc1ccccc1C=CC(=O)CC(=O)C1CC2CC(CC2C)CC2CC21,CCc1ccccc1C=CC(=O)CC(=O)C1CC2CC(CC2C)CC2CC21,0.5080980579511777,,0.4933078395362797,0.1122773353246515,0.0135533884173603,0.1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,0,1,0,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,1,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,1
123,1a816d5f323e981840f01fefad862a0b,CC1=C2C(=O)C=CC=CC1C2CCC(=O)C1C2CC2CCCC2C(C)CC21,CC1=C2C(=O)C=CC=CC1C2CCC(=O)C1C2CC2CCCC2C(C)CC21,0.5837151685393541,,0.6780148936092775,0.0976146283733107,0.0174760568827056,0.1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,0,1,0,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,1,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,1
123,1a816d5f323e981840f01fefadc62a0b,CC1=CC(=O)C=CC=CC1CCCCCCCC(=O)C1CCCCC2(C1)CC2C,CC1=CC(=O)C=CC=CC1CCCCCCCC(=O)C1CCCCC2(C1)CC2C,0.4146658281493198,,0.3877346604328654,0.1182864872557509,0.0008183625429615,0.1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,0,1,0,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,1,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,1
123,1a816d5f323e981840f01feead062a0b,CC1CC2C1CCCC1CC1C2C(=O)CC1CC2CCCCC(=O)C2C1C,CC1CC2C1CCCC1CC1C2C(=O)CC1CC2CCCCC(=O)C2C1C,0.5703719831940642,,0.6397445463804677,0.1140367954394681,0.0104875635401711,0.1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,0,1,0,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,1,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,1
123,1a816d5f323e981840d01fefad062a0b,CC1C=C1CCCC1CC1C(C)C(=O)CCC1CC(=O)c2ccccc2C1,CC1C=C1CCCC1CC1C(C)C(=O)CCC1CC(=O)c2ccccc2C1,0.4735584208462249,,0.5189785900504567,0.127114116940603,0.0088973796950197,0.1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,0,1,0,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,1,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,1
123,1a816d5f322e981840f01fefad062a0b,CCC1(C(=O)CC2CC3C=CC=CC(=O)C3=C2C)C2CC2CCCC2CC21,CCC1(C(=O)CC2CC3C=CC=CC(=O)C3=C2C)C2CC2CCCC2CC21,0.5897113356738546,,0.6649216438318307,0.1111428045008409,0.0145382636156323,0.1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,0,1,0,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,1,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,1
123,1a816d5f323a981840f01fefad062a0b,CCCC=C1C(=O)C=CC=CC1CCCC(=O)C1CC2(CCCC3CC31)CC2C,CCCC=C1C(=O)C=CC=CC1CCCC(=O)C1CC2(CCCC3CC31)CC2C,0.4479771374827936,,0.4549127330475899,0.1047516283718427,0.0023168748969214,0.1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,0,1,0,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,1,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,1
123,1a816ddf323e981840b01feea9c62a0f,CC1CC2CCC(C(=O)CC3CCCC(C(=O)CCC4CC4)C3C)CC1C2,CC1CC2CCC(C(=O)CC3CCCC(C(=O)CCC4CC4)C3C)CC1C2,0.4793717204273477,,0.5314165251667566,0.107495064575856,0.0046203301611289,0.1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,1,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,1,1
123,1a816d5f323e981840d01fefadc62a0b,CC(C(=O)CCC1Cc2ccccc2C1=O)C1CC1CCCC1(C)CCCC1,CC(C(=O)CCC1Cc2ccccc2C1=O)C1CC1CCCC1(C)CCCC1,0.4622619443364778,,0.4955963793922691,0.1306194604125419,0.0033247078661138,0.1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,0,1,0,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,1,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,1
