target,model,n_train,n_test,r2,mae,rmse,metric,bit,bit_index,importance,importance_fraction
official_property_contribution,LightGBM,24000.0,6000.0,0.5689909397628488,0.04784370680089671,0.059945853190681096,,,,,
official_property_contribution,LightGBM,,,,,,feature_importance,bit_0,0.0,20.0,0.0016666666666666668
official_property_contribution,LightGBM,,,,,,feature_importance,bit_1,1.0,30.0,0.0025
official_property_contribution,LightGBM,,,,,,feature_importance,bit_2,2.0,116.0,0.009666666666666667
official_property_contribution,LightGBM,,,,,,feature_importance,bit_3,3.0,98.0,0.008166666666666666
official_property_contribution,LightGBM,,,,,,feature_importance,bit_4,4.0,150.0,0.0125
official_property_contribution,LightGBM,,,,,,feature_importance,bit_5,5.0,39.0,0.00325
official_property_contribution,LightGBM,,,,,,feature_importance,bit_6,6.0,117.0,0.00975
official_property_contribution,LightGBM,,,,,,feature_importance,bit_7,7.0,29.0,0.002416666666666667
official_property_contribution,LightGBM,,,,,,feature_importance,bit_8,8.0,99.0,0.00825
official_property_contribution,LightGBM,,,,,,feature_importance,bit_9,9.0,110.0,0.009166666666666667
official_property_contribution,LightGBM,,,,,,feature_importance,bit_10,10.0,279.0,0.02325
official_property_contribution,LightGBM,,,,,,feature_importance,bit_11,11.0,62.0,0.005166666666666667
official_property_contribution,LightGBM,,,,,,feature_importance,bit_12,12.0,40.0,0.0033333333333333335
official_property_contribution,LightGBM,,,,,,feature_importance,bit_13,13.0,193.0,0.016083333333333335
official_property_contribution,LightGBM,,,,,,feature_importance,bit_14,14.0,43.0,0.0035833333333333333
official_property_contribution,LightGBM,,,,,,feature_importance,bit_15,15.0,100.0,0.008333333333333333
official_property_contribution,LightGBM,,,,,,feature_importance,bit_16,16.0,108.0,0.009
official_property_contribution,LightGBM,,,,,,feature_importance,bit_17,17.0,48.0,0.004
official_property_contribution,LightGBM,,,,,,feature_importance,bit_18,18.0,142.0,0.011833333333333333
official_property_contribution,LightGBM,,,,,,feature_importance,bit_19,19.0,47.0,0.003916666666666666
official_property_contribution,LightGBM,,,,,,feature_importance,bit_20,20.0,194.0,0.016166666666666666
official_property_contribution,LightGBM,,,,,,feature_importance,bit_21,21.0,46.0,0.003833333333333333
official_property_contribution,LightGBM,,,,,,feature_importance,bit_22,22.0,130.0,0.010833333333333334
official_property_contribution,LightGBM,,,,,,feature_importance,bit_23,23.0,119.0,0.009916666666666667
official_property_contribution,LightGBM,,,,,,feature_importance,bit_24,24.0,79.0,0.006583333333333333
official_property_contribution,LightGBM,,,,,,feature_importance,bit_25,25.0,90.0,0.0075
official_property_contribution,LightGBM,,,,,,feature_importance,bit_26,26.0,199.0,0.016583333333333332
official_property_contribution,LightGBM,,,,,,feature_importance,bit_27,27.0,150.0,0.0125
official_property_contribution,LightGBM,,,,,,feature_importance,bit_28,28.0,99.0,0.00825
official_property_contribution,LightGBM,,,,,,feature_importance,bit_29,29.0,88.0,0.007333333333333333
official_property_contribution,LightGBM,,,,,,feature_importance,bit_30,30.0,96.0,0.008
official_property_contribution,LightGBM,,,,,,feature_importance,bit_31,31.0,147.0,0.01225
official_property_contribution,LightGBM,,,,,,feature_importance,bit_32,32.0,48.0,0.004
official_property_contribution,LightGBM,,,,,,feature_importance,bit_33,33.0,170.0,0.014166666666666666
official_property_contribution,LightGBM,,,,,,feature_importance,bit_34,34.0,110.0,0.009166666666666667
official_property_contribution,LightGBM,,,,,,feature_importance,bit_35,35.0,60.0,0.005
official_property_contribution,LightGBM,,,,,,feature_importance,bit_36,36.0,67.0,0.005583333333333333
official_property_contribution,LightGBM,,,,,,feature_importance,bit_37,37.0,107.0,0.008916666666666666
official_property_contribution,LightGBM,,,,,,feature_importance,bit_38,38.0,67.0,0.005583333333333333
official_property_contribution,LightGBM,,,,,,feature_importance,bit_39,39.0,59.0,0.004916666666666666
official_property_contribution,LightGBM,,,,,,feature_importance,bit_40,40.0,66.0,0.0055
official_property_contribution,LightGBM,,,,,,feature_importance,bit_41,41.0,94.0,0.007833333333333333
official_property_contribution,LightGBM,,,,,,feature_importance,bit_42,42.0,106.0,0.008833333333333334
official_property_contribution,LightGBM,,,,,,feature_importance,bit_43,43.0,238.0,0.019833333333333335
official_property_contribution,LightGBM,,,,,,feature_importance,bit_44,44.0,62.0,0.005166666666666667
official_property_contribution,LightGBM,,,,,,feature_importance,bit_45,45.0,48.0,0.004
official_property_contribution,LightGBM,,,,,,feature_importance,bit_46,46.0,9.0,0.00075
official_property_contribution,LightGBM,,,,,,feature_importance,bit_47,47.0,63.0,0.00525
official_property_contribution,LightGBM,,,,,,feature_importance,bit_48,48.0,2.0,0.00016666666666666666
official_property_contribution,LightGBM,,,,,,feature_importance,bit_49,49.0,28.0,0.0023333333333333335
official_property_contribution,LightGBM,,,,,,feature_importance,bit_50,50.0,208.0,0.017333333333333333
official_property_contribution,LightGBM,,,,,,feature_importance,bit_51,51.0,84.0,0.007
official_property_contribution,LightGBM,,,,,,feature_importance,bit_52,52.0,64.0,0.005333333333333333
