seed,canonical_smiles,smiles,qed,sa,logp,mw,tpsa,nrb,hbd,hba,ro5,official_property_contribution,official_final_score
123,CC1=C2C(=O)C=CC=CC2CC1CC(=O)C1C2CC2CCCC2C(C)CC21,CC1=C2C(=O)C=CC=CC2CC1CC(=O)C1C2CC2CCCC2C(C)CC21,0.6806549479305417,5.029958247635127,5.301700000000006,364.240230264,34.14,3,0,2,True,0.5854003739500269,
123,CCc1ccccc1C=CC(=O)CC(=O)C1CC2CC(CC2C)CC2CC21,CCc1ccccc1C=CC(=O)CC(=O)C1CC2CC(CC2C)CC2CC21,0.4933078395362797,4.947519910390682,5.498900000000005,364.240230264,34.14,6,0,2,True,0.5080980579511777,
123,CC1=C2C(=O)C=CC=CC1C2CCC(=O)C1C2CC2CCCC2C(C)CC21,CC1=C2C(=O)C=CC=CC1C2CCC(=O)C1C2CC2CCCC2C(C)CC21,0.6780148936092775,5.607341723201015,5.301700000000006,364.240230264,34.14,4,0,2,True,0.5837151685393541,
123,CC1=CC(=O)C=CC=CC1CCCCCCCC(=O)C1CCCCC2(C1)CC2C,CC1=CC(=O)C=CC=CC1CCCCCCCC(=O)C1CCCCC2(C1)CC2C,0.3877346604328654,4.677108073491207,7.150300000000008,396.30283052,34.14,9,0,2,True,0.4146658281493198,
123,CC1CC2C1CCCC1CC1C2C(=O)CC1CC2CCCCC(=O)C2C1C,CC1CC2C1CCCC1CC1C2C(=O)CC1CC2CCCCC(=O)C2C1C,0.6397445463804677,4.868344205223934,5.685500000000006,370.287180456,34.14,3,0,2,True,0.5703719831940642,
123,CC1C=C1CCCC1CC1C(C)C(=O)CCC1CC(=O)c2ccccc2C1,CC1C=C1CCCC1CC1C(C)C(=O)CCC1CC(=O)c2ccccc2C1,0.5189785900504567,4.279864737672864,5.799600000000006,364.240230264,34.14,9,0,2,True,0.4735584208462249,
123,CCC1(C(=O)CC2CC3C=CC=CC(=O)C3=C2C)C2CC2CCCC2CC21,CCC1(C(=O)CC2CC3C=CC=CC(=O)C3=C2C)C2CC2CCCC2CC21,0.6649216438318307,4.998573797462159,5.4458000000000055,364.240230264,34.14,4,0,2,True,0.5897113356738546,
123,CCCC=C1C(=O)C=CC=CC1CCCC(=O)C1CC2(CCCC3CC31)CC2C,CCCC=C1C(=O)C=CC=CC1CCCC(=O)C1CC2(CCCC3CC31)CC2C,0.4549127330475899,5.286176723267078,6.616100000000007,394.287180456,34.14,7,0,2,True,0.4479771374827936,
123,CC1CC2CCC(C(=O)CC3CCCC(C(=O)CCC4CC4)C3C)CC1C2,CC1CC2CCC(C(=O)CC3CCCC(C(=O)CCC4CC4)C3C)CC1C2,0.5314165251667566,5.16272209408648,6.219700000000008,372.30283052,34.14,7,0,2,True,0.4793717204273477,
123,CC(C(=O)CCC1Cc2ccccc2C1=O)C1CC1CCCC1(C)CCCC1,CC(C(=O)CCC1Cc2ccccc2C1=O)C1CC1CCCC1(C)CCCC1,0.4955963793922691,4.122124281435612,6.413700000000008,380.271530392,34.14,9,0,2,True,0.4622619443364778,
123,CCCC(=O)CCCC(=O)CC(=O)C1CC2(CCCC3CC31)CC2C,CCCC(=O)CCCC(=O)CC(=O)C1CC2(CCCC3CC31)CC2C,0.5575659439477566,4.72817443304526,4.906700000000005,346.250794948,51.21,9,0,3,True,0.5215035811808546,
123,CC1CC2C1CCCC1CC1C2C(=O)CCC1Cc2ccccc2C1=O,CC1CC2C1CCCC1CC1C2C(=O)CCC1Cc2ccccc2C1=O,0.7569435314742516,4.293018086837121,5.099300000000006,350.2245802,34.14,4,0,2,True,0.6365449636008678,
123,CCCC(=O)C=CCC(=O)CCCCCC(=O)C1CCC2CC(C)C(C2)C1,CCCC(=O)C=CCC(=O)CCCCCC(=O)C1CCC2CC(C)C(C2)C1,0.3177545760867373,4.709438757777466,5.853000000000007,374.282095076,51.21,12,0,3,True,0.4332086443843624,
123,Cc1ccc2c(c1)C(C)C(CC(=O)C1C3CC3CCCC3C(C)CC31)CC2,Cc1ccc2c(c1)C(C)C(CC(=O)C1C3CC3CCCC3C(C)CC31)CC2,0.6123737273408617,4.514390415467296,6.328520000000007,364.276615772,17.07,3,0,1,True,0.5470010550297638,
123,CC1C=C1CCCC1CC1C(C)C(=O)CCC1CC2CCCCC(=O)C2C1,CC1C=C1CCCC1CC1C(C)C(=O)CCC1CC2CCCCC(=O)C2C1,0.4568141153687429,4.724645903341036,6.139800000000006,370.287180456,34.14,9,0,2,True,0.4436842987174275,
123,CCc1ccccc1C=CC(=O)CC(=O)C1(CC)CC2CC(C2)CC2CC21,CCc1ccccc1C=CC(=O)CC(=O)C1(CC)CC2CC(C2)CC2CC21,0.4631157461131201,4.663980359199511,5.643000000000006,364.240230264,34.14,7,0,2,True,0.478070054036033,
123,CC(=O)C=CC=CCCC1CC(=O)C23C(CCCCC4C(C)CC42)CC13,CC(=O)C=CC=CCCC1CC(=O)C23C(CCCCC4C(C)CC42)CC13,0.4806415888053288,5.3061126671119885,5.525700000000006,354.255880328,34.14,5,0,2,True,0.5227398202152339,
123,CC=C1C(=O)C=CC=CC1CCCC(=O)C1C2CC2CCCC2C(C)CC21,CC=C1C(=O)C=CC=CC1CCCC(=O)C1C2CC2CCCC2C(C)CC21,0.5856018925228186,4.856380629141553,5.691800000000006,366.255880328,34.14,5,0,2,True,0.5565606588181704,
123,CC1CCCC(CC(=O)C2CCC3CC(C)C(C3)C2)CC2CC2CCC1=O,CC1CCCC(CC(=O)C2CCC3CC(C)C(C3)C2)CC2CC2CCC1=O,0.5891125453471274,5.542284754160333,6.219700000000007,372.30283052,34.14,3,0,2,True,0.537564391844933,
123,CC1C=C1CCCC1CC1C(C)C(=O)C1CCC(O)=CC=CCC1=O,CC1C=C1CCCC1CC1C(C)C(=O)C1CCC(O)=CC=CCC1=O,0.526394650084185,5.357931623680711,4.941400000000004,342.21949482,54.37,7,1,3,True,0.5303291730895913,
123,CC1=C2C(=O)C=CC=C2CCC1CC(=O)C1C2CC2CCCC2C(C)CC21,CC1=C2C(=O)C=CC=C2CCC1CC(=O)C1C2CC2CCCC2C(C)CC21,0.6675107156584917,4.85715205771298,5.4458000000000055,364.240230264,34.14,3,0,2,True,0.5826635410946504,
123,CC(=O)C=CC=CCCCCCCCCC(=O)C1CCCCC2C(C)CC12,CC(=O)C=CC=CCCCCCCCCC(=O)C1CCCCC2C(C)CC12,0.2133876067309143,3.9592804333762057,6.840100000000008,372.30283052,34.14,12,0,2,True,0.385594709123039,
123,CC1CCC(=O)CCCCCC1CC(=O)C1CC2CC(CC2C)CC2CC21,CC1CCC(=O)CCCCCC1CC(=O)C1CC2CC(CC2C)CC2CC21,0.5891125453471274,5.634406632282211,6.219700000000008,372.30283052,34.14,3,0,2,True,0.5357219542824955,
123,CC1CC(CCCC(=O)C2CCC3CC(C)C(C3)C2)CC2CC2CCC1=O,CC1CC(CCCC(=O)C2CCC3CC(C)C(C3)C2)CC2CC2CCC1=O,0.5738746082851657,5.611422016897596,6.219700000000007,372.30283052,34.14,5,0,2,True,0.532067403583458,
123,CCC1c2ccccc2CC1CCC(=O)C1C2CC2CCCC2C(C)CC21,CCC1c2ccccc2CC1CCC(=O)C1C2CC2CCCC2C(C)CC21,0.5897427694839542,4.477332750055785,6.410200000000007,364.276615772,17.07,5,0,1,True,0.5411778349189633,
123,CC1C=C1CCCCC(C)C(=O)CCCCCCCC1CC2CCCC(=O)C1C2,CC1C=C1CCCCC(C)C(=O)CCCCCCCC1CC2CCCC(=O)C1C2,0.2239494503462842,4.868130041157698,7.454200000000008,400.334130648,34.14,14,0,2,True,0.3607582629876475,
123,CC=C1C(=O)C=CC=CC1CCCC(=O)C1C2C(CCCC3CCC3C)C12,CC=C1C(=O)C=CC=CC1CCCC(=O)C1C2C(CCCC3CCC3C)C12,0.4911147899303183,4.780293887470435,5.691800000000006,366.255880328,34.14,9,0,2,True,0.4571004787451107,
123,CCCC1=CC(=O)C=CC=CCCC1CC(=O)C1CC12CC2C(C)(C)C,CCCC1=CC(=O)C=CC=CCCC1CC(=O)C1CC12CC2C(C)(C)C,0.6216820736724407,5.546969098844558,5.835900000000007,354.255880328,34.14,5,0,2,True,0.5518257694286457,
123,CCC1C(C(=O)CC2CC3CCCCC(=O)C3C2)C12CC2CCCC1CC1,CCC1C(C(=O)CC2CC3CCCCC(=O)C3C2)C12CC2CCCC1CC1,0.5269849192531616,5.1884043793815895,5.973700000000007,370.287180456,34.14,8,0,2,True,0.4630039790087784,
123,CC1CC2C(CC3C(=O)C(C4CC=CC=CC(=O)C4)C3C)CCCCC12,CC1CC2C(CC3C(=O)C(C4CC=CC=CC(=O)C4)C3C)CCCCC12,0.6815086700293858,4.9491451054440985,5.381600000000006,354.255880328,34.14,3,0,2,True,0.5865638833846393,
123,CC1=CC(=O)C=CC=CC1CCCC(=O)C1C2CC2CCCC2C(C)CC21,CC1=CC(=O)C=CC=CC1CCCC(=O)C1C2CC2CCCC2C(C)CC21,0.6260039627060452,4.79700220756313,5.691800000000006,366.255880328,34.14,5,0,2,True,0.56865678619921,
123,CC(=O)C=CC=CCCC1CC(=O)C2(C1C)C1CCCCC3C(C)CC312,CC(=O)C=CC=CCCC1CC(=O)C2(C1C)C1CCCCC3C(C)CC312,0.4806415888053287,5.719971714552228,5.525700000000006,354.255880328,34.14,5,0,2,True,0.5144626392664291,
123,CC1CC2CCC(C(=O)C3CCC(C(=O)Cc4ccccc4)C3C)CC1C2,CC1CC2CCC(C(=O)C3CCC(C(=O)Cc4ccccc4)C3C)CC1C2,0.6901233025044097,4.897961107704441,5.492000000000006,366.255880328,34.14,5,0,2,True,0.586905537086189,
123,CC1C=C1CCCC1CC1C(C)C(=O)CCC1Cc2ccccc2C1=O,CC1C=C1CCCC1CC1C(C)C(=O)CCC1Cc2ccccc2C1=O,0.5580885517628537,4.311361147002236,5.409500000000006,350.2245802,34.14,9,0,2,True,0.4901055108142149,
