bit,bit_index,substructure,frequency_if_0_percent,frequency_if_1_percent,shift_percentage_points,count0,count1
bit_86,86,ether,14.373630958589755,3.316513986185274,-11.057116972404481,9587,20413
bit_86,86,amine,94.45081881714822,66.71238916376818,-27.738429653380038,9587,20413
bit_86,86,amide,93.99186398247626,30.887179738401997,-63.104684244074264,9587,20413
bit_86,86,halogen,25.38854699071659,17.33209229412629,-8.0564546965903,9587,20413
bit_86,86,sulfur,1.6272035047460103,6.348895311811101,4.721691807065091,9587,20413
bit_86,86,aromatic_ring,11.296547407948264,24.009209817273305,12.712662409325041,9587,20413
bit_86,86,hetero_aromatic,15.614895170543445,14.975750747072944,-0.6391444234705013,9587,20413
bit_86,86,carbonyl,97.92427245227913,54.69063831871846,-43.23363413356066,9587,20413
bit_67,67,ether,3.0955731139733738,12.871029335184863,9.775456221211488,18478,11522
bit_67,67,amine,65.31009849550817,92.04131227217496,26.73121377666679,18478,11522
bit_67,67,amide,25.798246563480898,91.55528554070473,65.75703897722383,18478,11522
bit_67,67,halogen,19.320272756791862,20.847075160562405,1.5268024037705423,18478,11522
bit_67,67,sulfur,6.775625067648014,1.7358097552508243,-5.03981531239719,18478,11522
bit_67,67,aromatic_ring,25.327416387054875,11.317479604235375,-14.0099367828195,18478,11522
bit_67,67,hetero_aromatic,16.278818053901936,13.417809408088873,-2.8610086458130635,18478,11522
bit_67,67,carbonyl,49.62658296352419,98.78493317132441,49.15835020780022,18478,11522
bit_36,36,ether,2.4529780564263324,10.104408352668214,7.651430296241882,12760,17240
bit_36,36,amine,64.46708463949842,83.79930394431555,19.33221930481713,12760,17240
bit_36,36,amide,29.427899686520377,67.05916473317866,37.631265046658285,12760,17240
bit_36,36,halogen,22.68025078369906,17.853828306264504,-4.826422477434555,12760,17240
bit_36,36,sulfur,7.7507836990595615,2.685614849187935,-5.065168849871627,12760,17240
bit_36,36,aromatic_ring,22.48432601880878,18.06844547563805,-4.415880543170729,12760,17240
bit_36,36,hetero_aromatic,15.705329153605016,14.791183294663574,-0.914145858941442,12760,17240
bit_36,36,carbonyl,49.14576802507837,82.83642691415312,33.690658889074754,12760,17240
bit_120,120,ether,3.253734183236609,15.270661617286702,12.016927434050093,21022,8978
bit_120,120,amine,67.64342117781372,94.15237246602807,26.508951288214348,21022,8978
bit_120,120,amide,32.63248025877652,94.18578748050791,61.553307221731394,21022,8978
bit_120,120,halogen,22.100656455142232,14.769436400089106,-7.331220055053127,21022,8978
bit_120,120,sulfur,6.212539244600894,1.6261973713521942,-4.586341873248699,21022,8978
bit_120,120,aromatic_ring,24.664637046903245,8.899532189797283,-15.765104857105962,21022,8978
bit_120,120,hetero_aromatic,16.33051089334982,12.486077077300067,-3.8444338160497544,21022,8978
bit_120,120,carbonyl,55.67500713538198,98.55201603920695,42.877008903824965,21022,8978
bit_77,77,ether,6.4087267768876774,26.31578947368421,19.90706269679653,29335,665
bit_77,77,amine,75.46616669507415,80.45112781954887,4.984961124474722,29335,665
bit_77,77,amide,50.08692687915459,93.6842105263158,43.597283647161206,29335,665
bit_77,77,halogen,18.575080961309016,78.64661654135338,60.07153558004437,29335,665
bit_77,77,sulfur,4.915629793761718,1.5037593984962405,-3.411870395265477,29335,665
bit_77,77,aromatic_ring,20.32384523606613,3.308270676691729,-17.0155745593744,29335,665
bit_77,77,hetero_aromatic,14.780978353502642,32.78195488721805,18.00097653371541,29335,665
bit_77,77,carbonyl,67.8711436850179,96.54135338345866,28.670209698440758,29335,665
bit_33,33,ether,4.534266805228901,10.463429205428012,5.929162400199111,18283,11717
bit_33,33,amine,66.05042936060822,90.44123922505761,24.390809864449395,18283,11717
bit_33,33,amide,32.83378001422086,79.48280276521294,46.64902275099208,18283,11717
bit_33,33,halogen,17.426024175463546,23.7774174276692,6.3513932522056535,18283,11717
bit_33,33,sulfur,6.125909314663895,2.8334898011436374,-3.2924195135202576,18283,11717
bit_33,33,aromatic_ring,21.424273915659356,17.641034394469575,-3.783239521189781,18283,11717
bit_33,33,hetero_aromatic,14.499808565333916,16.241358709567297,1.741550144233381,18283,11717
bit_33,33,carbonyl,57.774982223923864,85.25219766151744,27.47721543759358,18283,11717
bit_58,58,ether,4.186245194361384,10.056563578931902,5.870318384570518,16387,13613
bit_58,58,amine,66.32696649783365,86.71123191067363,20.38426541283998,16387,13613
bit_58,58,amide,28.21138707512052,78.54991552192757,50.338528446807054,16387,13613
bit_58,58,halogen,11.020931225971808,30.603099977962238,19.58216875199043,16387,13613
bit_58,58,sulfur,4.772075425642278,4.92176595900977,0.14969053336749205,16387,13613
bit_58,58,aromatic_ring,20.711539635076583,19.025931095276576,-1.6856085398000076,16387,13613
bit_58,58,hetero_aromatic,14.743394153902484,15.705575552780429,0.9621813988779451,16387,13613
bit_58,58,carbonyl,54.53713309330567,85.32285315507235,30.785720061766682,16387,13613
bit_51,51,ether,15.081135902636916,2.82025819265144,-12.260877709985476,9860,20140
bit_51,51,amine,92.02839756592293,67.52234359483614,-24.506053971086786,9860,20140
bit_51,51,amide,89.8580121703854,32.05561072492552,-57.80240144545987,9860,20140
bit_51,51,halogen,14.88843813387424,22.363455809334656,7.475017675460416,9860,20140
bit_51,51,sulfur,1.9168356997971603,6.271102284011916,4.354266584214756,9860,20140
bit_51,51,aromatic_ring,9.482758620689655,25.0695134061569,15.586754785467246,9860,20140
bit_51,51,hetero_aromatic,11.967545638945234,16.752730883813307,4.785185244868073,9860,20140
bit_51,51,carbonyl,96.83569979716025,54.63753723932473,-42.198162557835516,9860,20140
